title,price,specs,rating
Jambo K404,₹649,"64 MB RAM | 64 MB ROM |
1.44 inch Display
0.8MP Rear Camera
800 mAh Battery
",5
Bloom Selfie,"₹1,141","32 MB RAM | 32 MB ROM |
2.4 inch Display
0.08MP Rear Camera
1400 mAh Battery
",
Intex Ultra Magic,"₹1,245","56 MB RAM | 56 MB ROM |
2.8 inch Display
0.03MP Rear Camera
1800 mAh Battery
",3.3
Gfive M11,"₹1,074","32 MB RAM | 32 MB ROM |
2.4 inch Display
1.3MP Rear Camera
1800 mAh Battery
",3.7
"Samsung Galaxy Mega 5.8 (White, 8 GB)","₹15,900","1.5 GB RAM | 8 GB ROM | Expandable Upto 64 GB
5.8 inch quarter HD Display
8MP Rear Camera | 1.9MP Front Camera
2600 mAh Li-Ion Battery
",3.7
Gfive M11,"₹1,099","32 MB RAM | 32 MB ROM |
2.4 inch Display
1.3MP Rear Camera
1800 mAh Battery
",3.7
Rocktel W17,₹559,"1 MB RAM | 1 MB ROM |
1.77 inch Display
0.3MP Rear Camera
600 mAh Battery
",3.4
Micromax X407,"₹1,149","56 MB RAM | 40 KB ROM |
1.77 inch Display
0.03MP Rear Camera
800 mAh Battery
",4.1
Gfive M11,"₹1,099","32 MB RAM | 32 MB ROM |
2.4 inch Display
1.3MP Rear Camera
1800 mAh Battery
",3.7
Micromax Dual Sim,"₹1,199","256 MB ROM |
1.77 inch QVGA Display
0.3MP Rear Camera
1750 mAh Battery
",3.7
"M-tech Eros Smart (Rose Gold, 8 GB)","₹4,239","1 GB RAM | 8 GB ROM | Expandable Upto 32 GB
5 inch HD Display
5MP Rear Camera | 2MP Front Camera
2400 mAh Battery
Spreadtrum SC9832A-Cortex A7 Processor
",3.3
"Honor 6X (Silver, 32 GB)","₹11,898","3 GB RAM | 32 GB ROM | Expandable Upto 128 GB
5.5 inch Full HD Display
12MP + 2MP Dual Rear Camera | 8MP Front Camera
3340 mAh Battery
Kirin 655 Processor
",4.3
Ssky S900 Combo of Two Mobiles,"₹2,136","32 MB RAM | 32 MB ROM |
2.4 inch QVGA Display
0.3MP Rear Camera
1800 mAh Battery
",
Rocktel W9,₹559,"10 MB RAM | 10 MB ROM | Expandable Upto 8 GB
1.8 inch Display
0.3MP Rear Camera
800 mAh Battery
",3.2
I Kall K-130,₹609,"32 MB RAM | 64 MB ROM |
1.8 inch Display
0.3MP Rear Camera
1000 mAh Battery
",3.5
